dataset,cycle,r2,rmse
Acetylcholinesterase,0,0.727740061892399,0.6675871912543001
Acetylcholinesterase,1,0.699109331170432,0.6990873349715198
Acetylcholinesterase,2,0.7322158940241779,0.6490825000412659
Acetylcholinesterase,3,0.6652962028187261,0.7371651951789318
Acetylcholinesterase,4,0.6822026662079572,0.7124051495818534
Acetylcholinesterase,5,0.6804885233461242,0.7130984157123406
Acetylcholinesterase,6,0.6845224216242609,0.6895702100939821
Acetylcholinesterase,7,0.6811569673606508,0.707458488960596
Acetylcholinesterase,8,0.6624890217516812,0.7283325914556117
Acetylcholinesterase,9,0.7012584627632783,0.6778988838759784
