dataset,cycle,r2,rmse
Aurora-A,0,0.6945878373312624,0.8208257502950032
Aurora-A,1,0.7117393342056275,0.7484099560483949
Aurora-A,2,0.6588043552472385,0.8411052450711718
Aurora-A,3,0.7500146581269415,0.7392132712835862
Aurora-A,4,0.7040366003347442,0.8026506249848224
Aurora-A,5,0.726337006285332,0.7605547384149868
Aurora-A,6,0.6524274207426942,0.8337575168587279
Aurora-A,7,0.641613163816833,0.84756655141993
Aurora-A,8,0.7111540315961424,0.7715295318120033
Aurora-A,9,0.6935564736291356,0.8049788772266965
