dataset,cycle,r2,rmse
Cannabinoid,0,0.65059525830791,0.6961013490510713
Cannabinoid,1,0.7323924215676791,0.686069559584727
Cannabinoid,2,0.5999601997774302,0.6986485110370115
Cannabinoid,3,0.6114507856357471,0.7557729991059171
Cannabinoid,4,0.6568527835304173,0.6688161262414538
Cannabinoid,5,0.6092708183502881,0.7466671432207096
Cannabinoid,6,0.6617545298060663,0.6621708329348641
Cannabinoid,7,0.6688296053214458,0.7126852220808956
Cannabinoid,8,0.6668169733544198,0.7304789954000183
Cannabinoid,9,0.6384845499328351,0.7409925323838057
