dataset,cycle,r2,rmse
Carbonic,0,0.7900912880118837,0.6414905734419737
Carbonic,1,0.7693395408436343,0.6229324986355265
Carbonic,2,0.7527225997750422,0.61464283784842
Carbonic,3,0.770834390081258,0.6470277714418795
Carbonic,4,0.8475883407678212,0.5348362343677604
Carbonic,5,0.7809624974832905,0.6191266929915721
Carbonic,6,0.8436794470849203,0.5555602078283488
Carbonic,7,0.8215666273765917,0.5575628390052745
Carbonic,8,0.7145294709076047,0.6786517517914614
Carbonic,9,0.827220269366255,0.5797553440287333
