dataset,cycle,r2,rmse
Caspase,0,0.8085781627117821,0.5450186173692311
Caspase,1,0.7208001165259621,0.613104741575831
Caspase,2,0.8059280758165408,0.5267254506220033
Caspase,3,0.7548328361135235,0.6207220178680435
Caspase,4,0.7926671720156053,0.5390490076375165
Caspase,5,0.8338327997261612,0.4967292673454264
Caspase,6,0.7683005883549029,0.5523826820316974
Caspase,7,0.8001424459903321,0.5241316531974372
Caspase,8,0.836096022830514,0.5004274323534236
Caspase,9,0.8204526934027594,0.5123740155386365
