dataset,cycle,r2,rmse
Coagulation,0,0.579100055857406,0.8236805498319356
Coagulation,1,0.4125838705527438,0.9595480887769328
Coagulation,2,0.423176729003933,1.0060205628198562
Coagulation,3,0.4824864463798929,0.9462565739205382
Coagulation,4,0.4941546765527023,0.9247434320670678
Coagulation,5,0.41413423744722677,0.9332956279806033
Coagulation,6,0.4371953970968273,0.9342814338916227
Coagulation,7,0.4493462989530589,0.9562738619186532
Coagulation,8,0.5087609354500431,0.8694172452047356
Coagulation,9,0.5665527243176671,0.8633552940774017
