dataset,cycle,r2,rmse
Dihydrofolate,0,0.45423286255271966,0.816273097448028
Dihydrofolate,1,0.4358023363245649,0.8433039773338424
Dihydrofolate,2,0.4853368182184481,0.844943402063904
Dihydrofolate,3,0.598059096500453,0.7908928546278208
Dihydrofolate,4,0.44737122723733225,0.8683952208697187
Dihydrofolate,5,0.5553494787016658,0.781684848659651
Dihydrofolate,6,0.5255785665281061,0.7739976050108044
Dihydrofolate,7,0.5313135867420122,0.8178250552460217
Dihydrofolate,8,0.5294757174777721,0.7343915890477755
Dihydrofolate,9,0.5718619015261264,0.7764519574975979
