dataset,cycle,r2,rmse
Dopamine,0,0.5376617430848242,0.7156089766989047
Dopamine,1,0.5483442381248966,0.7322938583528721
Dopamine,2,0.4687487060067139,0.7271278725885836
Dopamine,3,0.5523653489072987,0.7328548742586279
Dopamine,4,0.5295018058278775,0.7220159383744076
Dopamine,5,0.5467379468615285,0.6656115636946754
Dopamine,6,0.5708022070192939,0.7225596323550424
Dopamine,7,0.5502062782001047,0.6975817379373211
Dopamine,8,0.3487722152993621,0.8553058429898495
Dopamine,9,0.6066600763376202,0.6766702052254777
