dataset,cycle,r2,rmse
Estrogen,0,0.8133857710347125,0.6129497831398318
Estrogen,1,0.7828692661372885,0.6330886674203624
Estrogen,2,0.8005801882482555,0.6178781299695966
Estrogen,3,0.8074007292021721,0.5832789170553467
Estrogen,4,0.8005876976398841,0.609443204824816
Estrogen,5,0.8265303737933907,0.572361182765732
Estrogen,6,0.8125602108950434,0.5690740238412282
Estrogen,7,0.789806593409413,0.6271857714403651
Estrogen,8,0.810845709504679,0.5981888307036549
Estrogen,9,0.811007180605135,0.5834774752681782
