dataset,cycle,r2,rmse
Glucocorticoid,0,0.6470948894483686,0.5593857396303524
Glucocorticoid,1,0.7234745342520348,0.5282269392283774
Glucocorticoid,2,0.6278165899209747,0.5879209712183434
Glucocorticoid,3,0.6262296112583252,0.5837668369923702
Glucocorticoid,4,0.665142210280476,0.5701240442849564
Glucocorticoid,5,0.6971691147692247,0.5122196959056385
Glucocorticoid,6,0.6421170760630234,0.6068080342370619
Glucocorticoid,7,0.6902826588399237,0.5605741648838317
Glucocorticoid,8,0.710061995671641,0.5534450992817054
Glucocorticoid,9,0.7149486058247106,0.552460714863572
