dataset,cycle,r2,rmse
Glycogen,0,0.6099486035377977,0.7192043359612276
Glycogen,1,0.6011957689191546,0.7029360529021673
Glycogen,2,0.6684807430717102,0.6529322881487185
Glycogen,3,0.6120926175883254,0.7173236854258097
Glycogen,4,0.5883321027228445,0.7160680959567229
Glycogen,5,0.6317175071131893,0.6799400280993139
Glycogen,6,0.652022317481892,0.6884609239186652
Glycogen,7,0.6201738895251028,0.6983820191259806
Glycogen,8,0.6307710046809107,0.6942301588763443
Glycogen,9,0.5840132529473807,0.7084007782274371
