dataset,cycle,r2,rmse
Monoamine,0,0.6020016425939432,0.6524672664441376
Monoamine,1,0.6834218656910203,0.6008386017295103
Monoamine,2,0.6228363617057169,0.6274877721364349
Monoamine,3,0.6401192081169218,0.5939357901106044
Monoamine,4,0.6314231685033781,0.5926930982131149
Monoamine,5,0.678410877450098,0.5991680456352005
Monoamine,6,0.62389579323307,0.650049091867361
Monoamine,7,0.6632005550198881,0.6611073807031627
Monoamine,8,0.6539437626884337,0.625246782290371
Monoamine,9,0.6001362792663427,0.6924893805187006
