dataset,cycle,r2,rmse
Vanilloid,0,0.5132348295447065,0.7166799435494121
Vanilloid,1,0.5738270575750137,0.6813977964713724
Vanilloid,2,0.5920478810032213,0.6544139984137058
Vanilloid,3,0.5410042273941682,0.7049196305788622
Vanilloid,4,0.5506565566649779,0.6967890539879503
Vanilloid,5,0.6057405414670655,0.6376680375657882
Vanilloid,6,0.5733254162308274,0.6652997137945315
Vanilloid,7,0.5449193582512122,0.693956887712571
Vanilloid,8,0.4692227397770615,0.6973637523368834
Vanilloid,9,0.5542328549548621,0.6445369159818838
