dataset,cycle,r2,rmse
Acetylcholinesterase,0,0.7283105002700583,0.6668874609926265
Acetylcholinesterase,1,0.7001293550897607,0.6979013706882079
Acetylcholinesterase,2,0.7323668665985053,0.6488995028627179
Acetylcholinesterase,3,0.6638504163153892,0.7387556089095468
Acetylcholinesterase,4,0.6815198287320507,0.71317009606746
Acetylcholinesterase,5,0.6818044038016756,0.7116284835470317
Acetylcholinesterase,6,0.682410963994069,0.6918739715811194
Acetylcholinesterase,7,0.6807001025087411,0.707965160247085
Acetylcholinesterase,8,0.6639034448582422,0.7268048603943074
Acetylcholinesterase,9,0.7001929314211519,0.6791067500090452
