dataset,cycle,r2,rmse
Aurora-A,0,0.6933551860842746,0.8224805190940043
Aurora-A,1,0.710514706391908,0.7499980192049441
Aurora-A,2,0.6591202895801426,0.8407157389739869
Aurora-A,3,0.7488527160146301,0.7409292264250594
Aurora-A,4,0.7031809486542095,0.803810048217064
Aurora-A,5,0.725820801797946,0.761271709312168
Aurora-A,6,0.6505684407958616,0.8359842051424643
Aurora-A,7,0.6408181259825093,0.8485061425393038
Aurora-A,8,0.7093356846836666,0.7739541932508456
Aurora-A,9,0.6943392725720696,0.8039500750330892
