dataset,cycle,r2,rmse
Aurora-A,0,0.5820875574092692,0.9133393987196389
Aurora-A,1,0.5829974463158767,0.9203942916388129
Aurora-A,2,0.5908009831792453,0.9102591754671007
Aurora-A,3,0.5754968847463411,0.8534547404686131
Aurora-A,4,0.4227132912099948,0.8639819893257926
Aurora-A,5,0.5463865726782744,0.8796904446698848
Aurora-A,6,0.5795632500038779,0.9997653668825792
Aurora-A,7,0.5784426055154428,0.9320899578327925
Aurora-A,8,0.5107510358826557,0.9457466138889473
Aurora-A,9,0.5267112511500989,0.9227541722822582
