dataset,cycle,r2,rmse
Cannabinoid,0,0.6507030826631067,0.6959939342659124
Cannabinoid,1,0.7306101051361349,0.6883504437825648
Cannabinoid,2,0.6036625924743186,0.6954079785324778
Cannabinoid,3,0.613671011315237,0.7536106082230238
Cannabinoid,4,0.6549071522755094,0.6707095267566932
Cannabinoid,5,0.6103224605566832,0.7456616440312837
Cannabinoid,6,0.6610847710611634,0.6628260898732763
Cannabinoid,7,0.6703210958596627,0.7110785525221531
Cannabinoid,8,0.6647873960698365,0.7327004661186831
Cannabinoid,9,0.6388914689143499,0.7405753872485636
