dataset,cycle,r2,rmse
Cannabinoid,0,0.5265979095120339,0.8071397797458704
Cannabinoid,1,0.6409317676807018,0.7311791569250224
Cannabinoid,2,0.5809272205789062,0.871531861878585
Cannabinoid,3,0.45829175321901383,0.7862065623254569
Cannabinoid,4,0.5684988290059616,0.7269903201259099
Cannabinoid,5,0.4796045589712393,0.8415149620082881
Cannabinoid,6,0.5727313017195255,0.8051730681305986
Cannabinoid,7,0.5786075741565722,0.8112372954983041
Cannabinoid,8,0.5635300327856649,0.807258382300264
Cannabinoid,9,0.49945551098467633,0.8730594547820176
