dataset,cycle,r2,rmse
Carbonic,0,0.8015592321916831,0.6237211865063081
Carbonic,1,0.8133720021154435,0.5603286272676561
Carbonic,2,0.7453905371511396,0.6236887101586283
Carbonic,3,0.7787808573517004,0.6357107441798164
Carbonic,4,0.843674025448999,0.5416606658469143
Carbonic,5,0.8129856158991021,0.5720813564056149
Carbonic,6,0.838400550180601,0.5648628714017441
Carbonic,7,0.8316922235228348,0.5415117316538591
Carbonic,8,0.7489736578457564,0.6363938636716745
Carbonic,9,0.8169640826904814,0.596714408056151
