dataset,cycle,r2,rmse
Carbonic,0,0.6307217707839716,0.6973509220151637
Carbonic,1,0.6399052865946724,0.5840820258299714
Carbonic,2,0.6995436604738379,0.7070058807518682
Carbonic,3,0.6087280636844923,0.7371950800308747
Carbonic,4,0.6462253945827703,0.8173470646234893
Carbonic,5,0.571879079893493,0.5575859006816862
Carbonic,6,0.69909076382668,0.8082841839140682
Carbonic,7,0.7266063806186701,0.8347651186637487
Carbonic,8,0.6744011749750494,0.8230167962315468
Carbonic,9,0.6009915640899097,0.7822713444560949
