dataset,cycle,r2,rmse
Caspase,0,0.6970795859100878,0.6262717826787579
Caspase,1,0.6213675864907713,0.7584017183987037
Caspase,2,0.6603666632731209,0.6521583326628808
Caspase,3,0.6200671355211798,0.7897831079445831
Caspase,4,0.7223556909485489,0.6248579883191183
Caspase,5,0.617972203358701,0.7781030240447233
Caspase,6,0.6189625673904533,0.7317648772872538
Caspase,7,0.6745803850546372,0.6419808760853364
Caspase,8,0.7363899931929143,0.6284457832404493
Caspase,9,0.690017048762339,0.6565901670774086
