dataset,cycle,r2,rmse
Coagulation,0,0.6347629460225355,0.7672851487788063
Coagulation,1,0.5102493474243315,0.8761557646849577
Coagulation,2,0.5093800147338525,0.9278079484213505
Coagulation,3,0.5134439418666976,0.9175177773335739
Coagulation,4,0.5548301553234212,0.8675115283126759
Coagulation,5,0.5326663266534722,0.8335539413166133
Coagulation,6,0.49927160129452786,0.8812517852134529
Coagulation,7,0.5195121782527772,0.8932729775624533
Coagulation,8,0.6000702699691391,0.784465136870243
Coagulation,9,0.6098611475229812,0.8190888588098293
