dataset,cycle,r2,rmse
Coagulation,0,0.4283659139934104,0.9690780931849987
Coagulation,1,0.452701782715243,0.9748715364669228
Coagulation,2,0.40293458240679914,0.9961828111917826
Coagulation,3,0.46109067725969966,0.8980861324482299
Coagulation,4,0.3532352915448834,1.0027728481925116
Coagulation,5,0.5634771240460275,0.8777893090482594
Coagulation,6,0.41076761918722826,0.9801072934234139
Coagulation,7,0.44098726395461874,0.9425915195204556
Coagulation,8,0.5343971165087295,0.8607751362320998
Coagulation,9,0.36007691886430515,0.9810477547743706
