dataset,cycle,r2,rmse
Dopamine,0,0.5377228419840065,0.7155616905781045
Dopamine,1,0.5517358207414981,0.7295391993185917
Dopamine,2,0.47104644704261356,0.7255537003937115
Dopamine,3,0.5563774715128278,0.7295632147165396
Dopamine,4,0.5298195557711041,0.7217720912417099
Dopamine,5,0.5501190331645625,0.6631243681446249
Dopamine,6,0.5740678411539133,0.7198055164292635
Dopamine,7,0.5486564696062304,0.6987824978036601
Dopamine,8,0.35220385761801654,0.8530493509866092
Dopamine,9,0.6111471957574512,0.6727994958057456
