dataset,cycle,r2,rmse
Dopamine,0,0.30212565559911164,0.8034377826460297
Dopamine,1,0.19789012573365683,0.8431852239655635
Dopamine,2,0.2807559196950128,0.910729929900328
Dopamine,3,0.26137863224312363,0.8408291683396124
Dopamine,4,0.34046527193550513,0.7830830319386609
Dopamine,5,0.23498450258940018,0.797082662996888
Dopamine,6,0.3678257614318672,0.7587873493139357
Dopamine,7,0.3330518133546252,0.7761274271330829
Dopamine,8,0.36984432978380144,0.839060751652258
Dopamine,9,0.1409963998383118,0.8521690549268575
