dataset,cycle,r2,rmse
Estrogen,0,0.8143231358883353,0.6114084191543318
Estrogen,1,0.7841173400645945,0.6312665389735831
Estrogen,2,0.8005818237450177,0.6178755962701007
Estrogen,3,0.8078547850208497,0.5825909667292949
Estrogen,4,0.8013346497445633,0.6083007176988033
Estrogen,5,0.8270920968021241,0.5714337318073458
Estrogen,6,0.8128139101927954,0.5686887732859649
Estrogen,7,0.7918733606363825,0.6240946917039121
Estrogen,8,0.8106425896801094,0.5985099215148362
Estrogen,9,0.8107479688148358,0.5838774704041932
