dataset,cycle,r2,rmse
Estrogen,0,0.6913658900263084,0.6808488289313104
Estrogen,1,0.7442747612424367,0.6781519441929232
Estrogen,2,0.7045066741860161,0.772579131179295
Estrogen,3,0.7630619447387301,0.7211523704439273
Estrogen,4,0.7311932475520146,0.6815133982830465
Estrogen,5,0.7727330306942495,0.6909985447726092
Estrogen,6,0.7633554766974859,0.6751486301675819
Estrogen,7,0.7176800132725305,0.6958127833272894
Estrogen,8,0.6100444444529234,0.794023510510438
Estrogen,9,0.544076682172896,0.8691383435734952
