dataset,cycle,r2,rmse
Glucocorticoid,0,0.6461176407443316,0.5601597168980185
Glucocorticoid,1,0.7249321524151497,0.5268329075718139
Glucocorticoid,2,0.6296473972756245,0.5864731675716346
Glucocorticoid,3,0.6281940026777914,0.5822307906846031
Glucocorticoid,4,0.6622736874236376,0.5725607897112791
Glucocorticoid,5,0.6977312317014375,0.5117440820968963
Glucocorticoid,6,0.6431237972523675,0.6059539606353392
Glucocorticoid,7,0.691394196824878,0.5595673443779383
Glucocorticoid,8,0.7073574862075476,0.5560203449920798
Glucocorticoid,9,0.7142136563644779,0.553172462519563
