dataset,cycle,r2,rmse
Glucocorticoid,0,0.6148188156165121,0.63174474203545
Glucocorticoid,1,0.5407519302980157,0.659598406510328
Glucocorticoid,2,0.45068499516324434,0.7767492747646693
Glucocorticoid,3,0.4899874381281114,0.7598564676524358
Glucocorticoid,4,0.5310374365141818,0.6871415012881128
Glucocorticoid,5,0.539304138486757,0.7498615308421357
Glucocorticoid,6,0.5045987734774908,0.6301540729837575
Glucocorticoid,7,0.5039042837047922,0.6574958608107481
Glucocorticoid,8,0.5153468768222795,0.730215830043584
Glucocorticoid,9,0.5652457530232714,0.6301631073869672
