dataset,cycle,r2,rmse
Glycogen,0,0.6092336120691102,0.7198632100638198
Glycogen,1,0.599443055830598,0.7044790336501109
Glycogen,2,0.6672223628806415,0.6541703140318686
Glycogen,3,0.6120227932284728,0.7173882426057998
Glycogen,4,0.5890283613334578,0.7154622926283176
Glycogen,5,0.6327096303706896,0.6790235587306871
Glycogen,6,0.6525914403408913,0.6878976993117333
Glycogen,7,0.6177356669605475,0.7006199995703856
Glycogen,8,0.6305331224414576,0.694453757830049
Glycogen,9,0.5838397485976081,0.7085484966388025
