dataset,cycle,r2,rmse
Glycogen,0,0.47020868295244245,0.860968160091651
Glycogen,1,0.368602968693561,0.9287844698640704
Glycogen,2,0.4383204656135642,0.8086762960850556
Glycogen,3,0.46000119988656507,0.8348745392412037
Glycogen,4,0.3658426551572481,0.9261560811752039
Glycogen,5,0.4568914390679837,0.8246216249660756
Glycogen,6,0.48066432043736107,0.7791474079996575
Glycogen,7,0.5197627592287282,0.7244398028566535
Glycogen,8,0.3982215996057744,0.8947206893681954
Glycogen,9,0.44485969667277303,0.7626257638905789
