dataset,cycle,r2,rmse
Monoamine,0,0.6036528261653071,0.6511124078953691
Monoamine,1,0.6839410962323789,0.6003456716384581
Monoamine,2,0.6241961551398323,0.6263556054622255
Monoamine,3,0.640447581666226,0.5936647596504772
Monoamine,4,0.6300614326301968,0.5937869642581877
Monoamine,5,0.6780815712827415,0.5994747401618498
Monoamine,6,0.6242951780421873,0.6497038568408388
Monoamine,7,0.6631475834890184,0.6611593678630013
Monoamine,8,0.6529177439711216,0.6261729902744527
Monoamine,9,0.596917503058856,0.6952709540499357
