dataset,cycle,r2,rmse
Monoamine,0,0.36030367364283367,0.8154388846250787
Monoamine,1,0.4179373145574533,0.8205413038286313
Monoamine,2,0.493749718903154,0.7708809301658973
Monoamine,3,0.5742512620702773,0.6857426490516945
Monoamine,4,0.20065434135407612,0.8216025860981212
Monoamine,5,0.4544205445718197,0.7138573019845729
Monoamine,6,0.4127335742123598,0.7882511699905849
Monoamine,7,0.2897604335545808,0.708784450341763
Monoamine,8,0.34179314423934504,0.8636748693696682
Monoamine,9,0.20517587098406098,0.9299805392865894
