dataset,cycle,r2,rmse
Vanilloid,0,0.5135077664810821,0.7164789884812353
Vanilloid,1,0.5760002222724486,0.679658265346608
Vanilloid,2,0.5932853473366053,0.6534207074093786
Vanilloid,3,0.5407018783140424,0.7051517642145817
Vanilloid,4,0.5509121952259892,0.6965908186563406
Vanilloid,5,0.6042389355855748,0.6388812184556919
Vanilloid,6,0.5714026116507345,0.6667971118137542
Vanilloid,7,0.5428859708895168,0.6955055258000155
Vanilloid,8,0.46882105677410735,0.6976275788135377
Vanilloid,9,0.5549152861833151,0.6440433616708614
