dataset,cycle,r2,rmse
Vanilloid,0,0.39991355328729905,0.7366778678931867
Vanilloid,1,0.37428893321608636,0.723768685962681
Vanilloid,2,0.44263871606855665,0.7650511246144984
Vanilloid,3,0.4697586206893478,0.715113731753119
Vanilloid,4,0.37780895796503866,0.824979117053449
Vanilloid,5,0.40543088019882145,0.7626179322739742
Vanilloid,6,0.26886796212489805,0.7200270496979155
Vanilloid,7,0.26700100211196964,0.7897654009578843
Vanilloid,8,0.3080991919876154,0.7232933416832583
Vanilloid,9,0.3637438512218448,0.6865752791101141
